28 Oct 2024 - 16:23:48.716 [main] INFO  c.e.InterviewQuestionsApplication - Starting InterviewQuestionsApplication using Java 17.0.12 with PID 15784 (D:\JavaProject\Interview_questions\target\classes started by Xojiakbar in D:\JavaProject\Interview_questions)
28 Oct 2024 - 16:23:48.728 [main] INFO  c.e.InterviewQuestionsApplication - The following 1 profile is active: "prod"
28 Oct 2024 - 16:23:49.534 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
28 Oct 2024 - 16:23:49.590 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 47 ms. Found 2 JPA repository interfaces.
28 Oct 2024 - 16:23:50.056 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 9091 (http)
28 Oct 2024 - 16:23:50.065 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
28 Oct 2024 - 16:23:50.065 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.26]
28 Oct 2024 - 16:23:50.119 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
28 Oct 2024 - 16:23:50.119 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1358 ms
28 Oct 2024 - 16:23:50.222 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
28 Oct 2024 - 16:23:50.272 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.2.Final
28 Oct 2024 - 16:23:50.305 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
28 Oct 2024 - 16:23:50.588 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
28 Oct 2024 - 16:23:50.612 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
28 Oct 2024 - 16:23:51.404 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@4fafd27e
28 Oct 2024 - 16:23:51.405 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
28 Oct 2024 - 16:23:51.619 [main] WARN  org.hibernate.dialect.Dialect - HHH000511: The 10.23.0 version for [org.hibernate.dialect.PostgreSQLDialect] is no longer supported, hence certain features may not work properly. The minimum supported version is 12.0.0. Check the community dialects project for available legacy versions.
28 Oct 2024 - 16:23:52.604 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
28 Oct 2024 - 16:23:52.987 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
28 Oct 2024 - 16:23:53.209 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
28 Oct 2024 - 16:23:53.784 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
28 Oct 2024 - 16:23:53.819 [main] INFO  o.s.s.c.a.a.c.InitializeAuthenticationProviderBeanManagerConfigurer$InitializeAuthenticationProviderManagerConfigurer - Global AuthenticationManager configured with AuthenticationProvider bean with name authenticationProvider
28 Oct 2024 - 16:23:53.820 [main] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used for username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider.
28 Oct 2024 - 16:23:54.667 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 9091 (http) with context path '/'
28 Oct 2024 - 16:23:54.685 [main] INFO  c.e.InterviewQuestionsApplication - Started InterviewQuestionsApplication in 6.371 seconds (process running for 6.843)
28 Oct 2024 - 16:23:55.087 [main] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:postgresql://95.130.227.202:5432/interview_questionsDB (PostgreSQL 10.23)
28 Oct 2024 - 16:23:55.834 [main] INFO  o.f.core.internal.command.DbValidate - Successfully validated 3 migrations (execution time 00:00.275s)
28 Oct 2024 - 16:23:56.764 [main] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "public": 2
28 Oct 2024 - 16:23:56.831 [main] INFO  o.f.core.internal.command.DbMigrate - Schema "public" is up to date. No migration necessary.
28 Oct 2024 - 16:24:30.361 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
28 Oct 2024 - 16:24:30.363 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
28 Oct 2024 - 16:24:30.932 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
28 Oct 2024 - 16:24:34.618 [main] INFO  c.e.InterviewQuestionsApplication - Starting InterviewQuestionsApplication using Java 17.0.12 with PID 16648 (D:\JavaProject\Interview_questions\target\classes started by Xojiakbar in D:\JavaProject\Interview_questions)
28 Oct 2024 - 16:24:34.627 [main] INFO  c.e.InterviewQuestionsApplication - The following 1 profile is active: "prod"
28 Oct 2024 - 16:24:35.326 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
28 Oct 2024 - 16:24:35.382 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 46 ms. Found 2 JPA repository interfaces.
28 Oct 2024 - 16:24:35.887 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 9090 (http)
28 Oct 2024 - 16:24:35.896 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
28 Oct 2024 - 16:24:35.897 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.26]
28 Oct 2024 - 16:24:35.951 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
28 Oct 2024 - 16:24:35.952 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1295 ms
28 Oct 2024 - 16:24:36.078 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
