16 Apr 2025 - 20:43:20.720 [main] INFO  c.e.InterviewQuestionsApplication - Starting InterviewQuestionsApplication using Java 17.0.12 with PID 6604 (D:\JavaProject\Interview_questions\target\classes started by Xojiakbar in D:\JavaProject\Interview_questions)
16 Apr 2025 - 20:43:20.737 [main] INFO  c.e.InterviewQuestionsApplication - The following 1 profile is active: "dev"
16 Apr 2025 - 20:43:21.644 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
16 Apr 2025 - 20:43:21.717 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 66 ms. Found 6 JPA repository interfaces.
16 Apr 2025 - 20:43:22.266 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
16 Apr 2025 - 20:43:22.278 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
16 Apr 2025 - 20:43:22.278 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.31]
16 Apr 2025 - 20:43:22.336 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
16 Apr 2025 - 20:43:22.337 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1562 ms
16 Apr 2025 - 20:43:22.456 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
16 Apr 2025 - 20:43:22.526 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.3.Final
16 Apr 2025 - 20:43:22.565 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
16 Apr 2025 - 20:43:22.888 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
