04 May 2025 - 16:14:18.716 [main] INFO  c.e.InterviewQuestionsApplication - Starting InterviewQuestionsApplication using Java 17.0.12 with PID 4512 (D:\JavaProject\Interview_questions\target\classes started by Xojiakbar in D:\JavaProject\Interview_questions)
04 May 2025 - 16:14:18.739 [main] INFO  c.e.InterviewQuestionsApplication - The following 1 profile is active: "local"
04 May 2025 - 16:14:20.054 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
04 May 2025 - 16:14:20.161 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 96 ms. Found 6 JPA repository interfaces.
04 May 2025 - 16:14:21.009 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
04 May 2025 - 16:14:21.030 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
04 May 2025 - 16:14:21.031 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.31]
04 May 2025 - 16:14:21.145 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
04 May 2025 - 16:14:21.146 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2348 ms
04 May 2025 - 16:14:21.306 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
04 May 2025 - 16:14:21.438 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.3.Final
04 May 2025 - 16:14:21.499 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
04 May 2025 - 16:14:21.948 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
04 May 2025 - 16:14:22.023 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
04 May 2025 - 16:14:22.417 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@54941dfd
04 May 2025 - 16:14:22.421 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
04 May 2025 - 16:14:22.555 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
04 May 2025 - 16:14:24.258 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
04 May 2025 - 16:14:24.511 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
04 May 2025 - 16:14:24.797 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
04 May 2025 - 16:14:26.445 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
04 May 2025 - 16:14:26.553 [main] INFO  o.s.s.c.a.a.c.InitializeAuthenticationProviderBeanManagerConfigurer$InitializeAuthenticationProviderManagerConfigurer - Global AuthenticationManager configured with AuthenticationProvider bean with name authenticationProvider
04 May 2025 - 16:14:26.555 [main] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used for username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider.
04 May 2025 - 16:14:28.746 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
04 May 2025 - 16:14:28.785 [main] INFO  c.e.InterviewQuestionsApplication - Started InterviewQuestionsApplication in 10.651 seconds (process running for 11.41)
04 May 2025 - 16:14:29.230 [main] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:postgresql://localhost:5432/Interview_questions (PostgreSQL 14.13)
04 May 2025 - 16:14:29.357 [main] INFO  o.f.core.internal.command.DbValidate - Successfully validated 3 migrations (execution time 00:00.087s)
04 May 2025 - 16:14:29.384 [main] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "public": 2
04 May 2025 - 16:14:29.388 [main] INFO  o.f.core.internal.command.DbMigrate - Schema "public" is up to date. No migration necessary.
